"ID";"DTM";"P";"T";"RM"
"HRADISTE";1910-09-15;88.67;10.125;48.006
"HRADISTE";1910-10-15;49.18;7.167;38.429
"HRADISTE";1910-11-15;19.19;-0.274;31.035
"HRADISTE";1910-12-15;16.92;-0.844;26.679
"HRADISTE";1911-01-15;37.23;-4.884;22.939
"HRADISTE";1911-02-15;36.51;-2.559;22.751
"HRADISTE";1911-03-15;64.7;1.663;53.68
"HRADISTE";1911-04-15;89.87;5.259;41.659
"HRADISTE";1911-05-15;188.17;10.936;75.753
"HRADISTE";1911-06-15;181.57;13.58;76.245
"HRADISTE";1911-07-15;121.68;17.922;47.808
"HRADISTE";1911-08-15;156.57;17.667;55.568
"HRADISTE";1911-09-15;126.03;12.924;55.432
"HRADISTE";1911-10-15;45.18;6.367;37.666
"HRADISTE";1911-11-15;35.95;1.72;35.041
"HRADISTE";1911-12-15;74.93;-1.31;32.339
"HRADISTE";1912-01-15;36.9;-6.577;24.653
"HRADISTE";1912-02-15;51.8;-1.078;26.078
"HRADISTE";1912-03-15;33.78;3.574;55.839
"HRADISTE";1912-04-15;82.42;4.345;56.117
"HRADISTE";1912-05-15;125.35;10.564;50.606
"HRADISTE";1912-06-15;73.05;14.145;32.022
"HRADISTE";1912-07-15;47.61;15.736;22.579
"HRADISTE";1912-08-15;56.6;12.814;17.301
"HRADISTE";1912-09-15;51;6.9;13.068
"HRADISTE";1912-10-15;39.51;4.065;9.963
"HRADISTE";1912-11-15;103.1;-1.843;7.116
"HRADISTE";1912-12-15;43.67;-1.188;8.768
"HRADISTE";1913-01-15;36.64;-5.283;8.977
"HRADISTE";1913-02-15;38.56;-3.17;11.541
"HRADISTE";1913-03-15;60.79;3.474;56.733
"HRADISTE";1913-04-15;51.3;5.845;52.854
"HRADISTE";1913-05-15;166.61;10.249;66.094
"HRADISTE";1913-06-15;140.47;13.011;55.887
"HRADISTE";1913-07-15;159.82;12.314;63.972
"HRADISTE";1913-08-15;147.51;13.382;62.777
"HRADISTE";1913-09-15;154.35;11.093;75.126
"HRADISTE";1913-10-15;33.83;6.951;42.977
"HRADISTE";1913-11-15;24.37;3.157;35.974
"HRADISTE";1913-12-15;63.68;-1.323;33.909
"HRADISTE";1914-01-15;24.22;-7.123;25.248
"HRADISTE";1914-02-15;6.29;-3.311;24.191
"HRADISTE";1914-03-15;20.37;2.516;36.122
"HRADISTE";1914-04-15;23.48;7.614;19.151
"HRADISTE";1914-05-15;74.88;9.849;17.738
"HRADISTE";1914-06-15;149.57;12.92;30.404
"HRADISTE";1914-07-15;140.18;14.847;33.998
"HRADISTE";1914-08-15;131.08;15.564;34.781
"HRADISTE";1914-09-15;85.01;10.572;29.336
"HRADISTE";1914-10-15;40.19;6.065;22.473
"HRADISTE";1914-11-15;37.75;0.455;24.881
"HRADISTE";1914-12-15;18.36;-2.086;21.709
"HRADISTE";1915-01-15;34.27;-2.796;21.296
"HRADISTE";1915-02-15;6.62;-2.59;19.629
"HRADISTE";1915-03-15;46.66;0.013;28.479
"HRADISTE";1915-04-15;28.57;5.061;15.543
"HRADISTE";1915-05-15;127.66;11.574;29.754
"HRADISTE";1915-06-15;69.51;15.658;16.733
"HRADISTE";1915-07-15;245.81;14.559;65.334
"HRADISTE";1915-08-15;71.85;12.976;25.495
"HRADISTE";1915-09-15;102.45;9.23;35.291
"HRADISTE";1915-10-15;73.53;4.874;37.172
"HRADISTE";1915-11-15;83.73;-2.017;29.95
"HRADISTE";1915-12-15;87.41;-0.005;30.25
"HRADISTE";1916-01-15;83.34;0.653;62.647
"HRADISTE";1916-02-15;32.19;-2.648;34.229
"HRADISTE";1916-03-15;90.09;3.489;87.109
"HRADISTE";1916-04-15;77.32;5.759;66.934
"HRADISTE";1916-05-15;76.17;11.512;41.594
"HRADISTE";1916-06-15;110.66;11.426;39.695
"HRADISTE";1916-07-15;170.3;14.882;58.819
